danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,retro
0.649,0.716,8,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4,False
0.774,0.753,4,-5.446,0.0517,0.152,0,0.0371,0.896,119.002,4,False
0.773,0.747,5,-4.061,0.0889,0.0239,8.23e-06,0.11,0.8,126.014,4,False
0.778,0.317,1,-10.732,0.334,0.592,0,0.0881,0.327,140.048,4,False
0.681,0.372,5,-8.237,0.0432,0.64,0,0.169,0.476,91.873,4,False
0.647,0.585,6,-6.123,0.0512,0.00314,0,0.165,0.353,131.934,4,False
0.567,0.887,3,-4.253,0.128,0.0295,6.38e-06,0.297,0.654,126.057,4,False
0.746,0.754,1,-6.684,0.0676,0.0152,0,0.0486,0.746,149.882,4,False
0.592,0.28,4,-5.494,0.0283,0.889,0,0.124,0.348,141.899,4,False
0.782,0.685,4,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.016,4,False
0.66,0.867,6,-4.285,0.116,0.11,0,0.0368,0.377,93.033,4,False
0.721,0.802,1,-5.797,0.0583,0.0921,0,0.694,0.724,124.022,4,False
0.602,0.658,1,-5.934,0.0558,0.0233,6e-05,0.237,0.268,145.031,4,False
0.775,0.885,4,-5.023,0.061,0.033,0,0.312,0.82,111.997,4,False
0.776,0.78,10,-4.374,0.128,0.0622,0,0.081,0.666,124.949,4,False
0.845,0.561,1,-5.253,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,4,False
0.673,0.902,2,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012,4,False
0.509,0.538,7,-7.335,0.0572,0.385,0,0.104,0.244,75.089,4,False
0.538,0.409,9,-6.581,0.0505,0.172,0,0.11,0.265,171.838,4,False
0.584,0.7,11,-4.275,0.0456,0.117,0,0.0939,0.438,124.944,4,False
0.664,0.705,1,-4.972,0.0382,0.0654,0,0.118,0.477,122.016,4,False
0.608,0.798,6,-5.092,0.0432,0.0736,0,0.156,0.501,92.943,4,False
0.752,0.488,6,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,False
0.789,0.716,11,-4.241,0.0432,0.129,1.07e-05,0.069,0.611,125.906,4,False
0.583,0.732,11,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,4,False
0.607,0.649,11,-6.695,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,4,False
0.653,0.809,0,-4.057,0.0474,0.194,0,0.165,0.55,92.213,4,False
0.735,0.451,0,-8.374,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,4,False
0.674,0.881,9,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4,False
0.818,0.803,1,-4.282,0.0797,0.034,0,0.153,0.632,106.97,4,False
0.799,0.539,1,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,4,False
0.589,0.651,6,-5.097,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,4,False
0.716,0.821,5,-3.435,0.0314,0.0558,0,0.0844,0.618,92.997,4,False
0.694,0.815,2,-4.328,0.12,0.229,0,0.0924,0.813,88.931,4,False
0.309,0.544,9,-9.621,0.352,0.155,0.000265,0.0727,0.16,180.979,4,False
0.856,0.609,0,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4,False
0.646,0.741,5,-4.973,0.034,0.0275,0,0.312,0.571,123.077,4,False
0.444,0.819,10,-4.078,0.341,0.106,0,0.107,0.747,82.695,4,False
0.738,0.868,11,-4.373,0.0731,0.0392,0.00169,0.388,0.336,122.003,4,False
0.633,0.673,6,-6.403,0.258,0.297,0,0.206,0.659,86.776,4,False
0.477,0.682,1,-4.931,0.0925,0.153,0,0.0763,0.345,110.567,5,False
0.449,0.585,5,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4,False
0.68,0.578,10,-5.804,0.04,0.331,0,0.135,0.341,145.038,4,False
0.755,0.751,8,-4.034,0.0748,0.0635,0,0.0812,0.491,102.002,4,False
0.747,0.57,1,-6.711,0.081,0.0642,0,0.0832,0.65,133.992,4,False
0.735,0.766,1,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985,4,False
0.678,0.918,5,-4.63,0.0355,0.000417,0,0.0744,0.769,130.028,4,False
0.471,0.924,8,-3.906,0.0586,0.00301,0,0.313,0.725,154.961,4,False
0.67,0.855,0,-3.035,0.0499,0.0124,0,0.335,0.648,120.05,4,False
0.69,0.897,11,-4.696,0.0506,0.0142,0,0.108,0.849,140.05,4,False
0.722,0.851,7,-3.873,0.0639,0.0319,0,0.108,0.452,126.885,4,False
0.658,0.837,2,-2.063,0.0543,0.0629,0,0.0969,0.936,126.015,4,False
0.608,0.86,5,-5.324,0.0554,0.0991,0,0.262,0.437,127.075,4,False
0.628,0.676,7,-5.911,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,4,False
0.719,0.847,0,-6.34,0.0916,0.00201,0.0204,0.223,0.444,127.963,4,False
0.738,0.875,7,-3.141,0.127,0.000673,0.000556,0.285,0.538,114.962,4,False
0.376,0.695,0,-4.782,0.0933,0.135,0,0.11,0.302,169.533,4,False
0.762,0.863,0,-3.689,0.0565,0.015,0,0.125,0.965,106.008,4,False
0.687,0.792,1,-4.023,0.0353,0.000802,0,0.2,0.864,133.962,4,False
0.747,0.937,0,-5.746,0.0453,0.0208,0,0.29,0.739,103.976,4,False
0.674,0.628,2,-7.079,0.03,0.00144,0,0.0944,0.552,103.998,4,False
0.66,0.689,4,-2.671,0.0337,0.0884,0,0.0922,0.427,127.98,4,False
0.637,0.732,7,-6.209,0.0965,0.244,0,0.498,0.68,128.108,4,False
0.726,0.787,4,-2.494,0.0737,0.009,0,0.0596,0.888,124.99,4,False
0.743,0.752,4,-4.813,0.0414,0.0188,0,0.287,0.545,110.015,4,False
0.765,0.765,1,-2.732,0.0585,0.00765,3.82e-06,0.0527,0.886,120.001,4,False
0.421,0.407,10,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,3,False
0.704,0.793,8,-2.266,0.0591,0.0488,0,0.575,0.412,127.96,4,False
0.765,0.837,1,-3.113,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,4,False
